id,name,Location,category,discount,price,description,user_id,store_name
21,Acnemoist,acnemoist.jpg,Beauty Products,150,300,Acnemoist is a specially formulated moisturiser that is oil-free. Acnemoist provides extensive moisturising for dry skin without making skin look oily. Acnemoist also offers sun protection.,12,Beauty
22,bbcream,bbcream.jpg,Beauty Products,300,400,"This BB skin perfector adjusts to skin tone, blurs imperfections, and protects with broad-spectrum SPF 30. This replenishing water-gel formula leaves skin feeling fresh. Blurs imperfections. Brightens. Enhances. Hydrates. Evens skin tone. Smoothes. Zero oils and heavy ingredients. Protects with SPF 30.",13,Beauty
23,casmara,casmara.jpg,Beauty Products,500,650,Moisturizing massage cream with hyaluronic acid and Optimize your massage movements while you give your skin some extra care.,11,Beauty
24,deram moist,deram moist.jpg,Beauty Products,500,800,Dermamoist Lotion works by slowing down the processes that damage cells; forming a protective film and moisturizing the dry area and improving the blood circulation to the skin.,10,Beauty
25,L.A girl,L.A. girl.jpg,Beauty Products,300,700,"Our Lift Off Instant Lash Lifting Definition Mascara coats lashes from root to tip with a precise applicator wand to add lifted volume leaving lashes looking full and plush. Instant lash lifting, smudge-proof formula gently washes off with warm water for easy removal.",12,Beauty
26,neutrogen,neutrogen.jpg,Beauty Products,700,980,"Set your sights on the newest member of the Healthy Skin collection. This Radiant Setting Spray weightlessly locks makeup in place all day, so you don’t have to worry about smudges and smears. Infused with peptides, this finishing spray leaves skin looking bright and feeling refreshed.",13,Beauty
27,powder,powder.jpg,Beauty Products,500,660,"LAKME Rose Loose Face Powder with Sunscreen For All Skin Types, Matte Finish, Soft Pink, 40 g & 9 to 5 CC Cream Mini, 01 - Beige, L 9 g",14,Beauty
28,skin aqua,skin aqua.jpg,Beauty Products,300,330,Skin Aqua UV Super Moisture Gel is a waterproof and sweatproof sunscreen with chemical UV filters. It has a gel-type formula that is suitable for makeup applications.,15,Beauty
29,tartellete,tartellete.jpg,Beauty Products,650,780,"This eyeshadow palette is ALL matte, so if you're a no shimmer type of gal and love neutrals - this may be the perfect one for you. It contains 12 stunning, diverse shades perfect for every day neutral looks plus deeper shades to create a stunning smokey eye!",16,Beauty
30,volmatic,volmatic.jpg,Beauty Products,450,560,"The “tubular” formula coats your lashes from root to tip and binds to your lashes, wrapping each lash in its own tube. It's like lash extensions in a bottle. Removal is easy, use warm water on a cotton pad, hold over eye and tubes will gently slide off, or your daily cleanser will work just as well.",17,Beauty
31,yardley,yardley.jpg,Beauty Products,600,780,"Enriched with various elements, Yardley's deodorant roll-ons provide 48-hour sweat protection, reduce signs of wrinkles as well as lighten the overall skin tone. They contain natural licorice extracts and leave no white residue on the skin. Moreover, the roll-ons are free from alcohol and colorants.",12,Beauty
32,Brown Bed,brownbed.jpg,Furniture,4000,5000,"Wooden Double Bed- 4 x 6 x 1 Ft, Made of salla wood,Foldable, Used 18mm and 10 mm plyboard",16,Furwe
33,White Bed,whitebed.jpg,Furniture,5000,6000,"European White Bed - 5 Ft *6.5 Ft,Material: Saj ,Sallo Plyboard and Formaika Glossy Shining,King Size Bed",17,Furwe
34,Black Bed,blackbed.jpg,Furniture,6000,7000,"Black Color Double Size Bed ( 4ft X 6.1ft ), Made of 16mm plyboard,10mm plywood, Sallah wood used.",16,Furwe
35,Deban Sofa,deban.jpg,Furniture,8000,10000,"Luxury Deban Sofa, high-quality cloths,wood 5 years warranty",17,Furwe
36,Regjin Sofa,regjin.jpg,Furniture,12000,15000,"Regjin Double Bag Sofa Set, High-quality cloths, Luxury Kusan with a comfortable seat.",18,Furwe
37,Brown Cupboard,browncupboard.jpg,Furniture,15000,16000,"3 Piece Daraz 6ft By 6ft, Attached With Mirrors, 3 Sets",19,Furwe
38,Single Cupboard,singlecupboard.jpg,Furniture,8000,10000,"Single Mayaur Wardrobe 34X72X15, 2 sets, attached with mirrors",20,Furwe
39,Dell inspiron,dell.jpg,Laptop,50000,60000,Dell Inspiron is a Windows 10 laptop with a 15.60-inch display that has a resolution of 1920x1080 pixels. It is powered by a APU Quad Core A6 processor and it comes with 8GB of RAM. The Dell Inspiron packs 1TB of HDD storage.,21,Variety
40,light mouse,lightmouse.jpg,Electronics,1100,1200,Leishe Lighting Mouse Orginal High Quailty 7 Color Light Gaming Mouse - Black,22,Variety
